71213	624,66	A1	ett	liv	
71122	623,86	A1		deras	
70441	617,89	A1	en	värld	
70067	614,61	A1		viss	
70059	614,54	A1		dock	
69824	612,48	A1		egen	
69197	606,98	A1	ett	folk	
68786	603,37	A1	en	regering	
68462	600,53	A1		fram	
68123	597,56	A1		honom	
67954	596,07	A1	att	söka	
67354	590,81	A1		dig (vardagl. dej)	
66887	586,71	A1		utan	
66294	581,51	A1	en	sak	
65897	578,03	A1		hög	
64848	568,83	A1		länge	
64803	568,43	A1	en	person	
64594	566,60	A1	att	ligga	
63948	560,93	A1	en	son	
63266	554,95	A1		både	e.g. både…och
62197	545,57	A1		just	
62151	545,17	A1	att	lägga	e.g. lägga fram/in/på/till/ut, lägga sig
61888	542,86	A1	ett	antal	
60840	533,67	A1		redan	
59408	521,11	A1	en	kvinna	
59352	520,62	A1	ett	problem	
59290	520,07	A1	ett	fall	
59290	520,07	A1	en	man	
58348	511,81	A1		aldrig	
57206	501,79	A1		ofta	
57195	501,70	A1		varje	
57147	501,28	A1	en	artikel	
57068	500,58	A1	att	anse	
56559	496,12	A1	att	öva	
55844	489,85	A1	ett	lag	
55587	487,59	A1	ett	slag	
55397	485,93	A1	ett	tal	
55241	484,56	A1		åt	
55018	482,60	A1		nog	
54561	478,59	A1	en	bok	
54247	475,84	A1		varför	
54159	475,07	A1	att	handla	
53625	470,38	A1		gammal	
53445	468,80	A1	en	bild	
53135	466,09	A1	en	sida	
53060	465,43	A1		så	
52764	462,83	A1	att	öka	
52621	461,58	A1		därför	
52337	459,09	A1		sen	
51743	453,87	A1		god	
51660	453,15	A1		hos	
50942	446,85	A1		alltid	
50789	445,51	A1	att	skapa	
50378	441,90	A1	ett	arbete	
49682	435,80	A1	att	kapa	
49617	435,23	A1		samt	
49125	430,91	A1	en	blogg	
48981	429,65	A1		innan	
48934	429,24	A1		som	
48679	427,00	A1		ur	
48668	426,90	A1	att	gälla	
48294	423,62	A1	att	verka	
48235	423,10	A1	att	tala	e.g. tala om 
48149	422,35	A1	att	bära	
48004	421,08	A1		för	
47939	420,51	A1	en	väg	
47925	420,38	A1	ett	samhälle	
47774	419,06	A1		alltså	
47443	416,16	A1	en	stat	
47158	413,66	A1	en	stad	e.g. i stan
47058	412,78	A1	att	höra	
47043	412,65	A1	att	innebära	
47014	412,39	A1		genom att	
46990	412,18	A1	ett	företag	
46879	411,21	A1	en	möjlighet	
46775	410,30	A1	ett	ord	
46653	409,23	A1		politisk	
46025	403,72	A1	att	välja	
46012	403,60	A1		er	
45957	403,12	A1	att	förstå	
45947	403,03	A1	ett	inlägg	
45947	403,03	A1	ett	ägg	
45826	401,97	A1		te	
45814	401,87	A1	att	spela	e.g. spela in/upp
45637	400,31	A1		så att	
44946	394,25	A1		lika	
44544	390,73	A1	att	hitta	e.g. hitta på
44475	390,12	A1	ett	tag	e.g. gripa tag i
44448	389,89	A1	att	dra	e.g. dra av/in/ner/ut, dra nytta
44293	388,53	A1	att	leda	
44150	387,27	A1		gärna	
44018	386,11	A1		ändå	
43926	385,31	A1	ett	förslag	
43793	384,14	A1	att	lyckas	
43486	381,45	A1		dessutom	
43429	380,95	A1	ett	område	
43416	380,83	A1	en	lag	
43283	379,67	A1		svår	
42940	376,66	A1	att	lära	
42785	375,30	A1	att	sätta	e.g. sätta in/på
42675	374,33	A1	en	plats	
42409	372,00	A1		lång	
42147	369,70	A1	att	lämna	e.g. lämna in/tillbaka/över
41992	368,34	A1	att	bygga	
41855	367,14	A1		politik	
41837	366,98	A1		tidigare	
41695	365,74	A1	att	kalla	
41622	365,10	A1	en	peng	
41451	363,60	A1		väldigt	
41446	363,55	A1	att	leva	
41162	361,06	A1	att	ställa	e.g. ställa in/upp/ut
41007	359,70	A1	att	följa	
40780	357,71	A1	en	vecka	
40260	353,15	A1		ja	
40106	351,80	A1	att	ske	
39686	348,11	A1	ett	parti	
